"key"	"id"	"title"	"film_url"	"character"	"release_year"	"poster_url"	"poster_file"	"additional_info"
"thebridgesofmadisoncounty"	"CE11"	"The Bridges of Madison County"	"https://www.imdb.com/title/tt0112579/?ref_=nm_flmg_t_11_act"	"Robert Kincaid"	"1995"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNmRiZDZkN2EtNWI5ZS00ZDg3LTgyNDItMWI5NjVlNmE5ODJiXkEy_002.jpg"	"posters//posterCE11.jpg"	"The Bridges of Madison County;Robert Kincaid"
"casper"	"CE12"	"Casper"	"https://www.imdb.com/title/tt0112642/?ref_=nm_flmg_t_12_act"	"Clint Eastwood"	"1995"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZmQzZThjNDQtMjAxNC00YzhjLWFkNmItZDg4NjkxNjZkMjMxXkEyXkFq.jpg"	"posters//posterCE12.jpg"	"Casper;Clint Eastwood (uncredited)"
"aperfectworld"	"CE13"	"A Perfect World"	"https://www.imdb.com/title/tt0107808/?ref_=nm_flmg_t_13_act"	"Red Garnett"	"1993"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZjcyYmU1NzYtMmJiYy00NjJlLWE5ZjMtZWNkOWNjZmQ4MzIyXkEy_003.jpg"	"posters//posterCE13.jpg"	"A Perfect World;Red Garnett"
"inthelineoffire"	"CE14"	"In the Line of Fire"	"https://www.imdb.com/title/tt0107206/?ref_=nm_flmg_t_14_act"	"Frank Horrigan"	"1993"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMjdhYjRlMTgtNTMzOS00OTZlLWIxMjAtNjM4NGY0NGQxODM3XkEy_002.jpg"	"posters//posterCE14.jpg"	"In the Line of Fire;Frank Horrigan"
"unforgiven"	"CE15"	"Unforgiven"	"https://www.imdb.com/title/tt0105695/?ref_=nm_flmg_t_15_act"	"Bill Munny"	"1992"	"Clint%20Eastwood%20-%20IMDb_files/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEy_003.jpg"	"posters//posterCE15.jpg"	"Unforgiven;Bill Munny"
"therookie"	"CE16"	"The Rookie"	"https://www.imdb.com/title/tt0100514/?ref_=nm_flmg_t_16_act"	"Nick Pulovski"	"1990"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOGE2ZjQ3MmUtM2ZkNS00MjAxLTg1NzktNmVjNzZiMmU0MDU4XkEy_002.jpg"	"posters//posterCE16.jpg"	"The Rookie;Nick Pulovski"
"whitehunterblackheart"	"CE17"	"White Hunter Black Heart"	"https://www.imdb.com/title/tt0100928/?ref_=nm_flmg_t_17_act"	"John Wilson"	"1990"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMzNiYjliMTQtNDFlMi00NzhjLThhYWYtZDgzOWJiYjdiZDk5XkEy_003.jpg"	"posters//posterCE17.jpg"	"White Hunter Black Heart;John Wilson"
"pinkcadillac"	"CE18"	"Pink Cadillac"	"https://www.imdb.com/title/tt0098097/?ref_=nm_flmg_t_18_act"	"Tommy Nowak"	"1989"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZTU4ZWRlNDktNWNjZi00ZWYzLTkzODgtZGViY2YyNjJhZDlmL2lt_002.jpg"	"posters//posterCE18.jpg"	"Pink Cadillac;Tommy Nowak"
"thedeadpool"	"CE19"	"The Dead Pool"	"https://www.imdb.com/title/tt0094963/?ref_=nm_flmg_t_19_act"	"Harry Callahan"	"1988"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMjFiZjVmY2QtMjk4Ni00OWIxLTg4ZDItZWMxMGJlZmUzNWYzXkEy_003.jpg"	"posters//posterCE19.jpg"	"The Dead Pool;Harry Callahan"
"heartbreakridge"	"CE20"	"Heartbreak Ridge"	"https://www.imdb.com/title/tt0091187/?ref_=nm_flmg_t_20_act"	"Gunnery Sergent Thomas Highway"	"1986"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZWNiOTY4ZGUtYzM2Ny00ZTE2LThjZmEtNjI2MzA5NDRmNTczXkEy_002.jpg"	"posters//posterCE20.jpg"	"Heartbreak Ridge;Gunnery Sergent Thomas Highway"
"palerider"	"CE21"	"Pale Rider"	"https://www.imdb.com/title/tt0089767/?ref_=nm_flmg_t_21_act"	"Preacher"	"1985"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOGZjOWM3MWYtNTc5Yy00NGQ0LWFkMDQtOWUwYzhkNTZmNGI2XkEy_003.jpg"	"posters//posterCE21.jpg"	"Pale Rider;Preacher"
"cityheat"	"CE22"	"City Heat"	"https://www.imdb.com/title/tt0087062/?ref_=nm_flmg_t_22_act"	"Lt. Speer"	"1984"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMWM0Y2JhMGItMjc1NC00MjAwLWFmY2QtY2YzZjA3N2ZhYjlmXkEy_002.jpg"	"posters//posterCE22.jpg"	"City Heat;Lt. Speer"
"tightrope"	"CE23"	"Tightrope"	"https://www.imdb.com/title/tt0088272/?ref_=nm_flmg_t_23_act"	"Wes Block"	"1984"	"Clint%20Eastwood%20-%20IMDb_files/MV5BYmI1YjNjNmEtZjYyOC00MjdhLTllNjAtOTdjYjlhOTkwMWIzXkEy_003.jpg"	"posters//posterCE23.jpg"	"Tightrope;Wes Block"
"suddenimpact"	"CE24"	"Sudden Impact"	"https://www.imdb.com/title/tt0086383/?ref_=nm_flmg_t_24_act"	"Harry Callahan"	"1983"	"Clint%20Eastwood%20-%20IMDb_files/MV5BYTA2NzY5ZTgtNTY3Ni00YTc3LWFhN2ItY2Q4NzljYTRkZTIwXkEyXkFq.jpg"	"posters//posterCE24.jpg"	"Sudden Impact;Harry Callahan"
"honkytonkman"	"CE25"	"Honkytonk Man"	"https://www.imdb.com/title/tt0084088/?ref_=nm_flmg_t_25_act"	"Red Stovall"	"1982"	"Clint%20Eastwood%20-%20IMDb_files/MV5BM2M0OGM4NGMtMTQzYi00YTQ1LThjZGMtNmNiZGE2YmE5MzgzXkEy_002.jpg"	"posters//posterCE25.jpg"	"Honkytonk Man;Red Stovall"
"firefox"	"CE26"	"Firefox"	"https://www.imdb.com/title/tt0083943/?ref_=nm_flmg_t_26_act"	"Mitchell Gant"	"1982"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNGFlOTNlNGEtYmE3Ni00Yzc3LWIyODAtMTVjZGUyOTJkYmM5XkEyXkFq.jpg"	"posters//posterCE26.jpg"	"Firefox;Mitchell Gant"
"anywhichwayyoucan"	"CE27"	"Any Which Way You Can"	"https://www.imdb.com/title/tt0080377/?ref_=nm_flmg_t_27_act"	"Philo Beddoe"	"1980"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOTUzYmIxM2YtYjBkZC00M2FiLTllMGQtOTQ5N2UzMzc2YTAzL2lt_003.jpg"	"posters//posterCE27.jpg"	"Any Which Way You Can;Philo Beddoe"
"broncobilly"	"CE28"	"Bronco Billy"	"https://www.imdb.com/title/tt0080472/?ref_=nm_flmg_t_28_act"	"Bronco Billy"	"1980"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZWIzODlkM2ItZmQ5NS00NmY3LWFlYmEtNTIzYjI4ZWY5ZDVhXkEy_002.jpg"	"posters//posterCE28.jpg"	"Bronco Billy;Bronco Billy"
"escapefromalcatraz"	"CE29"	"Escape from Alcatraz"	"https://www.imdb.com/title/tt0079116/?ref_=nm_flmg_t_29_act"	"Frank Morris"	"1979"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMzI0NTIzM2QtZDBkZC00N2JjLWI5OGMtMzg2YjFjODI2ZTkwXkEy_003.jpg"	"posters//posterCE29.jpg"	"Escape from Alcatraz;Frank Morris"
"everywhichwaybutloose"	"CE30"	"Every Which Way But Loose"	"https://www.imdb.com/title/tt0077523/?ref_=nm_flmg_t_30_act"	"Philo Beddoe"	"1978"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMWZkMmE4OTItMzE5MS00YTNhLWIxZTYtODE0ZTYxNDU2ZTVlXkEy_003.jpg"	"posters//posterCE30.jpg"	"Every Which Way But Loose;Philo Beddoe"
"thegauntlet"	"CE31"	"The Gauntlet"	"https://www.imdb.com/title/tt0076070/?ref_=nm_flmg_t_31_act"	"Det. Ben Shockley"	"1977"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNGRiYWQ5YzYtNzM5MC00NjUwLWEyN2ItYmM5MzMzZGQ1ODVmXkEy_002.jpg"	"posters//posterCE31.jpg"	"The Gauntlet;Det. Ben Shockley"
"theenforcer"	"CE32"	"The Enforcer"	"https://www.imdb.com/title/tt0074483/?ref_=nm_flmg_t_32_act"	"Harry Callahan"	"1976"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMjI4M2Q2ZmYtNWY4Zi00NTM3LWFiYTYtNjU2NjI5MzMzYzA3XkEy_002.jpg"	"posters//posterCE32.jpg"	"The Enforcer;Harry Callahan"
"theoutlawjoseywales"	"CE33"	"The Outlaw Josey Wales"	"https://www.imdb.com/title/tt0075029/?ref_=nm_flmg_t_33_act"	"Josey Wales"	"1976"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMjIxNDYxMTk2MF5BMl5BanBnXkFtZTgwMjQxNjU3MTE@._V1_QL7_002.jpg"	"posters//posterCE33.jpg"	"The Outlaw Josey Wales;Josey Wales"
"theeigersanction"	"CE34"	"The Eiger Sanction"	"https://www.imdb.com/title/tt0072926/?ref_=nm_flmg_t_34_act"	"Jonathan Hemlock"	"1975"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZGQ0MTliYWEtNTNjOS00OWE3LWIwZjEtZDJlMWEyODViNjMyXkEyXkFq.jpg"	"posters//posterCE34.jpg"	"The Eiger Sanction;Jonathan Hemlock"
"thunderboltandlightfoot"	"CE35"	"Thunderbolt and Lightfoot"	"https://www.imdb.com/title/tt0072288/?ref_=nm_flmg_t_35_act"	"Thunderbolt"	"1974"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNjFhMTU1YzgtMDk3ZC00YzYzLTljMjMtMTdjNjk3ZTFiODQ1XkEyXkFq.jpg"	"posters//posterCE35.jpg"	"Thunderbolt and Lightfoot;Thunderbolt"
"magnumforce"	"CE36"	"Magnum Force"	"https://www.imdb.com/title/tt0070355/?ref_=nm_flmg_t_36_act"	"Insp. Harry Calahan"	"1973"	"Clint%20Eastwood%20-%20IMDb_files/MV5BYTA0MDEzZjktMGQ1OS00ZGIyLTg4OWUtNTMxZGRhNDM3NWM3XkEyXkFq.jpg"	"posters//posterCE36.jpg"	"Magnum Force;Insp. Harry Calahan"
"breezy"	"CE37"	"Breezy"	"https://www.imdb.com/title/tt0069822/?ref_=nm_flmg_t_37_act"	"Man at Marina"	"1973"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMzE2ZDIxNGYtM2MxMS00ZDEzLWE2ZjktNDdiOTE1NmUwNzNiXkEy_002.jpg"	"posters//posterCE37.jpg"	"Breezy;Man at Marina (uncredited)"
"highplainsdrifter"	"CE38"	"High Plains Drifter"	"https://www.imdb.com/title/tt0068699/?ref_=nm_flmg_t_38_act"	"The Stranger"	"1973"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNGI3YjIyZjYtYzJiNy00NTM4LWEzMmEtMmZiY2VjMjU5MzliXkEyXkFq.jpg"	"posters//posterCE38.jpg"	"High Plains Drifter;The Stranger"
"joekidd"	"CE39"	"Joe Kidd"	"https://www.imdb.com/title/tt0068768/?ref_=nm_flmg_t_39_act"	"Joe Kidd"	"1972"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMWEyNDFhOWMtMDdiMy00NzQyLWI1NDktNGZjMTE3Y2Y1MDAyXkEyXkFq.jpg"	"posters//posterCE39.jpg"	"Joe Kidd;Joe Kidd"
"dirtyharry"	"CE40"	"Dirty Harry"	"https://www.imdb.com/title/tt0066999/?ref_=nm_flmg_t_40_act"	"Harry"	"1971"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMzdhMTM2YTItOWU2YS00MTM0LTgyNDYtMDM1OWM3NzkzNTM2XkEy_003.jpg"	"posters//posterCE40.jpg"	"Dirty Harry;Harry"
"playmistyforme"	"CE41"	"Play Misty for Me"	"https://www.imdb.com/title/tt0067588/?ref_=nm_flmg_t_41_act"	"Dave"	"1971"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZjI4YTIyMWEtYjY4OS00ZDVmLWI5MjEtYmE3OGMxZDM4NmJlXkEyXkFq.jpg"	"posters//posterCE41.jpg"	"Play Misty for Me;Dave"
"thebeguiled"	"CE42"	"The Beguiled"	"https://www.imdb.com/title/tt0066819/?ref_=nm_flmg_t_42_act"	"John McBurney"	"1971"	"Clint%20Eastwood%20-%20IMDb_files/MV5BN2YyYThmZWMtOWFiNC00Njc1LTgxNjYtOTExZjcyMjlmMjkzXkEy_003.jpg"	"posters//posterCE42.jpg"	"The Beguiled;John McBurney"
"twomulesforsistersara"	"CE43"	"Two Mules for Sister Sara"	"https://www.imdb.com/title/tt0065134/?ref_=nm_flmg_t_43_act"	"Hogan"	"1970"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMGZiMzQyZjgtZTE0NC00MGQ0LWExZGMtMWUxZGU1OTVmMTg5XkEyXkFq.jpg"	"posters//posterCE43.jpg"	"Two Mules for Sister Sara;Hogan"
"kellysheroes"	"CE44"	"Kelly's Heroes"	"https://www.imdb.com/title/tt0065938/?ref_=nm_flmg_t_44_act"	"Private Kelly"	"1970"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMzAyNDUwYzUtN2NlMC00ODliLWExMjgtMGMzNmYzZmUwYTg1XkEy_002.jpg"	"posters//posterCE44.jpg"	"Kelly's Heroes;Private Kelly"
"paintyourwagon"	"CE45"	"Paint Your Wagon"	"https://www.imdb.com/title/tt0064782/?ref_=nm_flmg_t_45_act"	"Pardner"	"1969"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMGExOGY5MDItOTZlZi00OTQ1LWFlNmUtMTUyZWQ2MjQ0NmRhXkEy_002.jpg"	"posters//posterCE45.jpg"	"Paint Your Wagon;Pardner"
"whereeaglesdare"	"CE46"	"Where Eagles Dare"	"https://www.imdb.com/title/tt0065207/?ref_=nm_flmg_t_46_act"	"Lt. Schaffer"	"1968"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNGE3ZWZiNzktMDIyOC00ZmVhLThjZTktZjQ5NjI4NGVhMDBlXkEy_002.jpg"	"posters//posterCE46.jpg"	"Where Eagles Dare;Lt. Schaffer"
"coogansbluff"	"CE47"	"Coogan's Bluff"	"https://www.imdb.com/title/tt0062824/?ref_=nm_flmg_t_47_act"	"Coogan"	"1968"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOWMzZGRiNDktN2NiNS00MGNlLWFlNWYtOGIyNjJkNDdkZTllXkEyXkFq.jpg"	"posters//posterCE47.jpg"	"Coogan's Bluff;Coogan"
"hangemhigh"	"CE48"	"Hang 'Em High"	"https://www.imdb.com/title/tt0061747/?ref_=nm_flmg_t_48_act"	"Marshal Jed Cooper"	"1968"	"Clint%20Eastwood%20-%20IMDb_files/MV5BYmU5MTk1MGMtZjY4MC00YWI5LTk0NmYtNzJiZGMyZGQ5YzE4XkEy_003.jpg"	"posters//posterCE48.jpg"	"Hang 'Em High;Marshal Jed Cooper"
"thewitches"	"CE49"	"The Witches"	"https://www.imdb.com/title/tt0061037/?ref_=nm_flmg_t_49_act"	"Carlo"	"1967"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNjY3NDU1NTUtNjk0OS00OGM4LWIzNTktNjRjMWEwNWQwNmRhXkEyXkFq.jpg"	"posters//posterCE49.jpg"	"The Witches;Carlo;Charlie (segment \"Una Sera Come Le Altre\")"
"thegoodthebadandtheugly"	"CE50"	"The Good, the Bad and the Ugly"	"https://www.imdb.com/title/tt0060196/?ref_=nm_flmg_t_50_act"	"Blondie"	"1966"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFq.jpg"	"posters//posterCE50.jpg"	"The Good, the Bad and the Ugly;Blondie"
"forafewdollarsmore"	"CE51"	"For a Few Dollars More"	"https://www.imdb.com/title/tt0059578/?ref_=nm_flmg_t_51_act"	"Monco"	"1965"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFq.jpg"	"posters//posterCE51.jpg"	"For a Few Dollars More;Monco"
"rawhide"	"CE52"	"Rawhide"	"https://www.imdb.com/title/tt0052504/?ref_=nm_flmg_t_52_act"	"Rowdy Yates"	"1959–1965"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTMzODAzMDgyMF5BMl5BanBnXkFtZTcwNzQ0MzA5NA@@._V1_QL7_002.jpg"	"posters//posterCE52.jpg"	"Rawhide;Rowdy Yates;TV Series"
"afistfulofdollars"	"CE53"	"A Fistful of Dollars"	"https://www.imdb.com/title/tt0058461/?ref_=nm_flmg_t_53_act"	"Joe"	"1964"	"Clint%20Eastwood%20-%20IMDb_files/MV5BY2M5MDA1YjUtODQ1Yi00M2JlLTk2ZWQtYjI0NTEwZDk2NGNhXkEy_002.jpg"	"posters//posterCE53.jpg"	"A Fistful of Dollars;Joe"
"mistered"	"CE54"	"Mister Ed"	"https://www.imdb.com/title/tt0054557/?ref_=nm_flmg_t_54_act"	"Clint Eastwood"	"1962"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNDUzNmFhOGEtMDY2MC00MTg5LTgwZjctYjQxYTkwYmRiODUyXkEyXkFq.jpg"	"posters//posterCE54.jpg"	"Mister Ed;Clint Eastwood;TV Series"
"alfredhitchcockpresents"	"CE55"	"Alfred Hitchcock Presents"	"https://www.imdb.com/title/tt0047708/?ref_=nm_flmg_t_55_act"	"Newsman"	"1959"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOWQ1OGI0ZTItOTNkYi00NWFhLWE3ZWYtODVmMjkzMmM1NDYwXkEyXkFq.jpg"	"posters//posterCE55.jpg"	"Alfred Hitchcock Presents;Newsman (uncredited);TV Series"
"maverick"	"CE56"	"Maverick"	"https://www.imdb.com/title/tt0050037/?ref_=nm_flmg_t_56_act"	"Red Hardigan"	"1959"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMjdjNGRmNTktYWFkMS00ZTNjLTgxNjctODliOWQxNjgyN2Y4XkEy_002.jpg"	"posters//posterCE56.jpg"	"Maverick;Red Hardigan;TV Series"
"lafayetteescadrille"	"CE57"	"Lafayette Escadrille"	"https://www.imdb.com/title/tt0051840/?ref_=nm_flmg_t_57_act"	"George Moseley"	"1958"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZGNlOWJlZjQtNTU1Ni00NWIxLTlmZjMtMDNlOTIwMzA1MmYzXkEy_002.jpg"	"posters//posterCE57.jpg"	"Lafayette Escadrille;George Moseley"
"ambushatcimarronpass"	"CE58"	"Ambush at Cimarron Pass"	"https://www.imdb.com/title/tt0051349/?ref_=nm_flmg_t_58_act"	"Keith Williams"	"1958"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNjA2Y2YzM2ItYjU2Zi00MDVjLWFkMjMtMzVkYzU5OWFhMzM2XkEyXkFq.jpg"	"posters//posterCE58.jpg"	"Ambush at Cimarron Pass;Keith Williams"
"navylog"	"CE59"	"Navy Log"	"https://www.imdb.com/title/tt0250167/?ref_=nm_flmg_t_59_act"	"Burns"	"1958"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMTIzNDY5ZmMtNTAzYy00OTU1LTkxYTQtNTMzNmVhZmMwYTk2XkEyXkFq.jpg"	"posters//posterCE59.jpg"	"Navy Log;Burns;TV Series"
"escapadeinjapan"	"CE60"	"Escapade in Japan"	"https://www.imdb.com/title/tt0050363/?ref_=nm_flmg_t_60_act"	"Dumbo - Pilot"	"1957"	"Clint%20Eastwood%20-%20IMDb_files/MV5BOTE3MjUyNzUtYWZkMi00ZDAwLTg0NjYtOTlmNGRjMDJiYzBkXkEy_002.jpg"	"posters//posterCE60.jpg"	"Escapade in Japan;Dumbo - Pilot (uncredited)"
"westpoint"	"CE61"	"West Point"	"https://www.imdb.com/title/tt0048913/?ref_=nm_flmg_t_61_act"	"Cadet Bob Salter"	"1957"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMDFhNjQ1NjItOWMzNS00YzhjLTg3ZDAtODYxMjkyYjc3YWJkXkEy_002.jpg"	"posters//posterCE61.jpg"	"West Point;Cadet Bob Salter;TV Series"
"deathvalleydays"	"CE62"	"Death Valley Days"	"https://www.imdb.com/title/tt0044259/?ref_=nm_flmg_t_62_act"	"John Lucas"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZTQ1YzZlZTktYTI5OS00YmQ4LWJiMGUtM2ZlNzJjNTc2MmM0XkEy_002.jpg"	"posters//posterCE62.jpg"	"Death Valley Days;John Lucas;TV Series"
"awayallboats"	"CE63"	"Away All Boats"	"https://www.imdb.com/title/tt0048971/?ref_=nm_flmg_t_63_act"	"Corpsman"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BMmMyZTk5ZmUtODNjYi00ZDJiLWFmMTQtZjE5MTk5YWVlZjk0XkEy_003.jpg"	"posters//posterCE63.jpg"	"Away All Boats;Corpsman (uncredited)"
"thefirsttravelingsaleslady"	"CE64"	"The First Traveling Saleslady"	"https://www.imdb.com/title/tt0049212/?ref_=nm_flmg_t_64_act"	"Lt. Jack Rice"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNzUxZTA0YzUtNmQ5Yy00NzNjLWE5ZWUtOWJlZjQ2MWQ2MWRiXkEyXkFq.jpg"	"posters//posterCE64.jpg"	"The First Traveling Saleslady;Lt. Jack Rice"
"starinthedust"	"CE65"	"Star in the Dust"	"https://www.imdb.com/title/tt0049793/?ref_=nm_flmg_t_65_act"	"Tom - Ranch Hand"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNmIwY2I3YjctNGVkYS00NzUzLTg0MzktNTQ3YmY2Y2RhYTUwXkEyXkFq.jpg"	"posters//posterCE65.jpg"	"Star in the Dust;Tom - Ranch Hand (uncredited)"
"highwaypatrol"	"CE66"	"Highway Patrol"	"https://www.imdb.com/title/tt0047739/?ref_=nm_flmg_t_66_act"	"Joe Keeley"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BYTQ2ZmY0MjUtYjA5ZC00M2VmLWI3YWQtNGFiYjI0ZGYwMDA3XkEy_002.jpg"	"posters//posterCE66.jpg"	"Highway Patrol;Joe Keeley;TV Series"
"neversaygoodbye"	"CE67"	"Never Say Goodbye"	"https://www.imdb.com/title/tt0049547/?ref_=nm_flmg_t_67_act"	"Will"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BNWMzOWE3ZTktMjE0Ny00OTZjLTgyNjgtZmQxN2I2ZmRmYWVmXkEyXkFq.jpg"	"posters//posterCE67.jpg"	"Never Say Goodbye;Will (uncredited)"
"tvreadersdigest"	"CE68"	"TV Reader's Digest"	"https://www.imdb.com/title/tt0047780/?ref_=nm_flmg_t_68_act"	"Lt. Wilson"	"1956"	"Clint%20Eastwood%20-%20IMDb_files/MV5BODMyNGEzZjctYWUzMS00M2U1LThjYTYtNzlmNTUyNTk1ZmViXkEyXkFq.jpg"	"posters//posterCE68.jpg"	"TV Reader's Digest;Lt. Wilson;TV Series"
"tarantula"	"CE69"	"Tarantula"	"https://www.imdb.com/title/tt0048696/?ref_=nm_flmg_t_69_act"	"Jet Squadron Leader"	"1955"	"Clint%20Eastwood%20-%20IMDb_files/MV5BZjRmZjRkNjEtYjM1Ni00NTE2LWI4ZjMtMjVhZmNhZmU4MDg4XkEy_002.jpg"	"posters//posterCE69.jpg"	"Tarantula;Jet Squadron Leader (uncredited)"
